date,code,close,prsn_qty,frgn_qty,orgn_qty,prsn_val,frgn_val,orgn_val
2026-04-13,000270,147400,215712.0,-93595.0,-122510.0,31622.0,-13725.0,-17954.0
2026-04-14,000270,149200,1135.0,-66066.0,57502.0,98.0,-9930.0,8715.0
2026-04-15,000270,151500,-15110.0,-88889.0,104116.0,-2434.0,-13519.0,15971.0
2026-04-16,000270,157900,-224643.0,-13641.0,238074.0,-35410.0,-2081.0,37461.0
2026-04-17,000270,159200,-22191.0,13428.0,7477.0,-3534.0,2130.0,1200.0
2026-04-20,000270,157400,37999.0,-17863.0,-25283.0,5946.0,-2819.0,-3945.0
2026-04-21,000270,160000,-58721.0,41102.0,11772.0,-9385.0,6574.0,1882.0
2026-04-22,000270,160000,-10180.0,93952.0,-84277.0,-1653.0,14966.0,-13394.0
2026-04-23,000270,158400,115737.0,33.0,-119600.0,18194.0,246.0,-19053.0
2026-04-24,000270,153400,416031.0,-156463.0,-260104.0,64088.0,-24130.0,-40042.0
2026-04-27,000270,152600,690641.0,-514469.0,-182943.0,105799.0,-78835.0,-28002.0
2026-04-28,000270,155600,-115879.0,74466.0,40707.0,-18359.0,11934.0,6346.0
2026-04-29,000270,156900,43465.0,18605.0,-50179.0,6655.0,3037.0,-7826.0
2026-04-30,000270,151800,446465.0,-428846.0,-52535.0,68423.0,-65662.0,-8128.0
2026-05-04,000270,154000,-39999.0,139543.0,-105846.0,-6359.0,21750.0,-16378.0
2026-05-06,000270,154600,163749.0,81664.0,-266742.0,25180.0,12894.0,-41387.0
2026-05-07,000270,157600,33632.0,-36685.0,705.0,5057.0,-5675.0,246.0
2026-05-08,000270,164500,-434185.0,120983.0,296287.0,-72595.0,20726.0,49207.0
2026-05-11,000270,174700,-611473.0,759760.0,-145484.0,-106502.0,132116.0,-25139.0
2026-05-12,000270,168300,446960.0,-607215.0,164120.0,76913.0,-104826.0,28598.0
2026-05-13,000270,179500,-245274.0,266986.0,-12816.0,-44734.0,47176.0,-905.0
2026-05-14,000270,178100,246227.0,-209754.0,-44465.0,43637.0,-37312.0,-7765.0
2026-05-15,000270,168000,305164.0,-347129.0,37551.0,53542.0,-61115.0,6797.0
2026-05-18,000270,162500,35128.0,-62899.0,25215.0,5395.0,-10020.0,4214.0
2026-05-19,000270,154900,233494.0,-490632.0,249448.0,36323.0,-76016.0,38479.0
2026-05-20,000270,149400,278626.0,-468116.0,184721.0,41573.0,-69983.0,27704.0
2026-05-21,000270,167900,-292307.0,136113.0,165299.0,-47779.0,22298.0,26981.0
2026-05-22,000270,164800,147479.0,-153292.0,-8544.0,24223.0,-25198.0,-1390.0
2026-05-26,000270,167000,-62569.0,144138.0,-75227.0,-10577.0,24121.0,-12476.0
2026-05-27,000270,162800,,,,,,
2026-04-13,000660,1040000,-466094.0,442600.0,18357.0,-479841.0,455035.0,19506.0
2026-04-14,000660,1103000,-1085978.0,773177.0,333618.0,-1207731.0,860260.0,370673.0
2026-04-15,000660,1136000,448683.0,-269551.0,-184890.0,514259.0,-307195.0,-213634.0
2026-04-16,000660,1155000,278790.0,-404139.0,128696.0,319304.0,-462989.0,147403.0
2026-04-17,000660,1128000,883762.0,-581803.0,-330268.0,1004212.0,-660092.0,-376333.0
2026-04-20,000660,1166000,-620085.0,525288.0,105359.0,-723155.0,612982.0,122413.0
2026-04-21,000660,1224000,-230711.0,93524.0,134454.0,-280363.0,114726.0,162209.0
2026-04-22,000660,1223000,429131.0,-273549.0,-164240.0,521407.0,-332488.0,-199356.0
2026-04-23,000660,1225000,251014.0,-123488.0,-129744.0,284172.0,-137809.0,-148351.0
2026-04-24,000660,1222000,564000.0,-675246.0,99414.0,683455.0,-819948.0,122176.0
2026-04-27,000660,1292000,-1099289.0,708461.0,388647.0,-1412531.0,910040.0,499770.0
